Car Type,Manufacturer,Transmission,Package,Region,Country Origin,Year,Engine Size,Mileage,Price
Range Rover,Land Rover,Automatic,Full,Riyadh,Gulf Arabic,2015,5.0,140000,260000
Optima,Kia,Automatic,Semi Full,Hafar Al-Batin,Saudi,2015,2.4,220000,42000
CX3,Mazda,Automatic,Semi Full,Abha,Saudi,2019,2.0,25000,58000
Cayenne S,Porsche,Automatic,Full,Riyadh,Saudi,2012,4.8,189000,85000
Sonata,Hyundai,Automatic,Full,Riyadh,Saudi,2016,2.4,155,48000
Avalon,Toyota,Automatic,Standard,Riyadh,Saudi,2016,3.5,110864,81500
C300,Chrysler,Automatic,Full,Makkah,Saudi,2013,5.7,200,55000
Land Cruiser,Toyota,Automatic,Full,Riyadh,Saudi,2011,4.6,79000,145000
FJ,Toyota,Automatic,Semi Full,Riyadh,Saudi,2020,4.0,17000,140000
Land Cruiser,Toyota,Automatic,Full,Riyadh,Saudi,2019,4.6,71000,200000
Tucson,Hyundai,Automatic,Standard,Jeddah,Saudi,2018,2.0,85000,65000
Pajero,Mitsubishi,Automatic,Full,Riyadh,Saudi,2018,3.5,74715,76000
5,MG,Automatic,Semi Full,Al-Baha,Saudi,2021,1.5,3400,42000
Corolla,Toyota,Automatic,Semi Full,Jazan,Saudi,2013,1.6,296,30000
Tahoe,Chevrolet,Automatic,Semi Full,Riyadh,Other,2017,6.2,105920,149000
A,Mercedes,Automatic,Standard,Riyadh,Other,2021,2.0,10000,179000
X,BMW,Automatic,Full,Jeddah,Saudi,2015,2.0,92000,72000
Land Cruiser Pickup,Toyota,Manual,Standard,Riyadh,Saudi,2018,4.0,98000,105000
Malibu,Chevrolet,Automatic,Standard,Abha,Saudi,2020,1.5,62000,57000
The 5,BMW,Automatic,Standard,Jeddah,Saudi,2019,2.5,38000,140000
Sonata,Hyundai,Automatic,Full,Makkah,Saudi,2020,2.5,11000,110000
Grand Cherokee,Jeep,Automatic,Semi Full,Al-Namas,Saudi,2014,3.6,245000,55000
SL,Mercedes,Automatic,Full,Jeddah,Saudi,2017,4.7,81000,265000
Previa,Toyota,Automatic,Full,Riyadh,Gulf Arabic,2015,2.4,156000,56500
