Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable
Corolla,Abha,Toyota,Manual,Saudi,Standard,2013,1.4,421000,True
FJ,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,49000,True
LS,Aseer,Lexus,Automatic,Saudi,Full,1998,4.6,300,True
Hilux,Yanbu,Toyota,Automatic,Saudi,Full,2014,2.7,209,True
Land Cruiser,Aseer,Toyota,Manual,Gulf Arabic,Semi Full,1982,4.6,340000,True
Land Cruiser,Al-Baha,Toyota,Manual,Saudi,Semi Full,1985,2.0,30000,True
Caprice,Riyadh,Chevrolet,Automatic,Other,Standard,1983,1.0,500000,True
Land Cruiser,Hail,Toyota,Automatic,Gulf Arabic,Full,2013,4.6,250,True
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2014,1.5,350000,True
Yaris,Hafar Al-Batin,Toyota,Automatic,Saudi,Semi Full,2017,1.5,80000,True
Suburban,Jeddah,Chevrolet,Automatic,Other,Semi Full,2016,3.5,187000,True
Traverse,Riyadh,Chevrolet,Automatic,Saudi,Standard,2012,3.6,280000,True
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2008,1.7,345500,True
C300,Hafar Al-Batin,Chrysler,Automatic,Saudi,Full,2016,3.6,110000,True
3,Dammam,Mazda,Automatic,Saudi,Standard,2019,1.6,55800,True
Elantra,Riyadh,Hyundai,Manual,Saudi,Semi Full,2011,1.6,600000,True
Tucson,Al-Medina,Hyundai,Automatic,Saudi,Full,2017,2.4,89000,True
A8,Riyadh,Audi,Automatic,Saudi,Semi Full,2015,3.0,137000,True
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Standard,2009,5.7,422000,True
Camry,Tabouk,Toyota,Manual,Other,Semi Full,2004,2.5,500,True
Land Cruiser Pickup,Qassim,Nissan,Manual,Unknown,Full,2016,4.8,42000,True
Aveo,Riyadh,Chevrolet,Manual,Saudi,Standard,2011,1.6,266000,True
Victoria,Qassim,Ford,Automatic,Saudi,Full,2011,4.6,280000,True
Flex,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,3.5,214000,True
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2009,3.5,417970,True
Escalade,Riyadh,Cadillac,Automatic,Saudi,Full,2011,6.2,270373,True
Senta fe,Qassim,Hyundai,Automatic,Other,Full,2015,2.0,96000,True
H1,Riyadh,Hyundai,Manual,Other,Full,2007,2.4,81000,True
Symbol,Riyadh,Renault,Automatic,Saudi,Full,2020,1.6,100,True
Avanza,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2016,1.6,168000,True
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2012,4.0,280,True
LS,Taef,Lexus,Automatic,Other,Semi Full,2005,4.6,240000,True
Accent,Riyadh,Hyundai,Automatic,Saudi,Full,2016,1.5,183000,True
C5700,Hafar Al-Batin,GMC,Manual,Saudi,Standard,1977,1.5,4358765,True
Grand Cherokee,Riyadh,Jeep,Automatic,Saudi,Full,2015,5.4,160000,True
Impala,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2018,3.6,65000,True
SEL,Riyadh,Mercedes,Automatic,Other,Full,1991,5.5,160000,True
Other,Jubail,Suzuki,Automatic,Saudi,Standard,2017,1.6,100,True
Yukon,Al-Ahsa,GMC,Automatic,Other,Full,2003,1.6,300000,True
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2010,3.5,440000,True
LX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2007,4.7,269000,True
Land Cruiser,Riyadh,Toyota,Automatic,Unknown,Full,2014,4.6,191000,True
BT-50,Al-Medina,Mazda,Manual,Saudi,Standard,2014,2.5,38000,True
Yukon,Khobar,GMC,Automatic,Gulf Arabic,Full,2008,8.0,350000,True
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Standard,2012,4.0,189,True
Suburban,Aseer,GMC,Automatic,Other,Full,2011,5.3,174000,True
Corolla,Al-Medina,Toyota,Automatic,Saudi,Standard,2018,1.6,93000,True
Ranger,Al-Medina,Ford,Manual,Saudi,Standard,2010,2.6,300000,True
Senta fe,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,228,True
Rav4,Jeddah,Toyota,Automatic,Saudi,Full,2016,1.4,38000,True
C300,Riyadh,Chrysler,Automatic,Other,Full,2017,5.7,62000,True
Hilux,Abha,Toyota,Manual,Saudi,Standard,1998,4.0,250000,True
Land Cruiser,Aseer,Toyota,Automatic,Gulf Arabic,Semi Full,2014,4.6,189821,True
Ciocca,Riyadh,Toyota,Automatic,Saudi,Full,2009,5.7,210000,True
Charger,Al-Medina,Dodge,Automatic,Other,Full,2020,3.6,27000,True
Patrol,Tabouk,Nissan,Manual,Saudi,Full,1999,4.5,300,True
Land Cruiser Pickup,Dammam,Toyota,Manual,Gulf Arabic,Full,2014,4.0,182000,True
Kona,Riyadh,Hyundai,Automatic,Saudi,Full,2020,2.0,32000,True
Sentra,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.6,19000,True
Senta fe,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020,2.4,21000,True
Hilux,Riyadh,Toyota,Automatic,Saudi,Full,2020,4.0,700,True
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,74000,True
Land Cruiser Pickup,Jubail,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.6,169000,True
Suburban,Riyadh,GMC,Automatic,Other,Full,1998,5.3,395000,True
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2021,3.3,2200,True
Yaris,Yanbu,Toyota,Automatic,Other,Standard,2017,1.5,208000,True
Kona,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,2.0,10000,True
Marquis,Riyadh,Ford,Automatic,Saudi,Full,1997,4.6,40000,True
Hilux,Dammam,Toyota,Manual,Saudi,Standard,2009,2.7,357172,True
FX,Dammam,INFINITI,Automatic,Saudi,Full,2013,5.7,60000,True
Azera,Jubail,Hyundai,Automatic,Saudi,Semi Full,2012,6.0,330,True
D-MAX,Abha,Isuzu,Automatic,Saudi,Full,2020,3.0,19000,True
Sierra,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2016,5.3,99000,True
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,35000,True
Suburban,Riyadh,Chevrolet,Automatic,Other,Full,1999,3.5,290000,True
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2013,5.4,200700,True
Sunny,Riyadh,Nissan,Automatic,Other,Standard,2013,1.5,175097,True
Dyna,Riyadh,Isuzu,Manual,Saudi,Standard,2021,3.0,100000,True
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2014,2.7,298000,True
Furniture,Makkah,Toyota,Automatic,Saudi,Standard,2015,4.5,10040,True
Hiace,Aseer,Toyota,Manual,Saudi,Standard,2011,2.7,200,True
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2012,4.5,327000,True
Lumina,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2008,3.0,295000,True
Sonata,Jazan,Hyundai,Automatic,Saudi,Full,2017,2.4,267,True
CX9,Abha,Mazda,Automatic,Unknown,Full,2012,2.5,377836,True
Sorento,Jubail,Kia,Automatic,Unknown,Semi Full,2015,3.3,133981,True
Suburban,Abha,GMC,Automatic,Other,Standard,1993,5.9,442050,True
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2015,2.7,280,True
Avalon,Jeddah,Toyota,Automatic,Saudi,Full,2006,3.5,400,True
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,88100,True
Cruze,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2011,1.8,10000,True
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2016,4.0,191000,True
Marquis,Qassim,Ford,Automatic,Saudi,Semi Full,2010,4.6,286,True
SL,Riyadh,Mercedes,Automatic,Other,Full,1995,3.5,119,True
Hilux,Jeddah,Toyota,Manual,Saudi,Standard,2010,2.7,200000,True
